id,message
1890,"The government."
1891,"How good lead paint taste."
1892,"Every man's ultimate fantasy: a perfectly cylindrical vagina."
1893,"Rubbing my bush all over your bald head."
1894,"Feeling the emotion of anger."
1895,"Gregor, my largest son."
1896,"A strong horse and enough rations for thirty days."
1897,"Getting aborted."
1898,"Systems and policies designed to preserve centuries-old power structures."
1899,"Overthrowing the democratically-elected government of Chile."
1900,"A weird guy who says weird stuff and weirds me out."
1901,"How strange it is to be anything at all."
1902,"Twenty cheerleaders laughing at your tiny penis."
1903,"Everything."
1904,"The flaming wreckage of the International Space Station."
1905,"A duffel bag full of lizards."
1906,"Beyoncé."
1907,"The fear and hatred in men's hearts."
1908,"One of them big-city Jew lawyers."
1909,"An empowered woman."
1910,"Tables."
1911,"The amount of baby carrots I can fit up my ass."
1912,"Farting a huge shit out of my pussy."
1913,"Being sexually attracted to children."
1914,"Participating."
1915,"Blossoming into a beautiful young woman."
1916,"Discovering that what I really want in life is to kill people and have sex with their corpses."
1917,"Breastfeeding in public like a radiant earth goddess."
1918,"ISIS."
1919,"All these people I've killed."
1920,"The full force of the American military."
1921,"Eating ass."
1922,"Who really did 9/11."
1923,"Condoleezza Rice."
1924,"Content."
1925,"Creamy slices of real, California avocado."
1926,"How sad it will be when Morgan Freeman dies."
1927,"A black friend."
1928,"Whooping your ass at Mario Kart."
1929,"Sudden and unwanted slam poetry."
1930,"A cold and indifferent universe."
2041,"_Pure Moods_ , Vol. "
1931,"The best, deepest quotes from The Dark Night."
1932,"Salsa Night at Dave's Cantina."
1933,"Dominating a man by peeing on his eldest son."
1934,"Two shitty kids and a garbage husband."
1935,"The Rwandan Genocide."
1936,"The LGBT community."
1937,"Founding a major world religion."
1938,"Rolling so hard."
1939,"My huge penis and substantial fortune."
1940,"Forty-five minutes of finger blasting."
1941,"How great my ass looks in these jeans."
1942,"Pooping in a leotard and hoping no one notices."
1943,"Guns."
1944,"Getting this party started!"
1945,"Twenty bucks."
1946,"Getting laid like all the time."
1947,"A big ol' plate of fettuccine alfredo."
1948,"Showing all the boys my pussy."
1949,"Fucking me good and taking me to Red Lobster.®"
1950,"A terrified fat child who won't come out of the bushes."
1951,"Doritos and a Fruit Roll-Up."
1952,"Mommy and daddy fighting all the time."
1953,"Holding the proper political beliefs of my time to attract a mate."
1954,"Onions."
1955,"Self-identifying as a DJ."
1956,"Watching you die."
1957,"Some real spicy shrimps."
1958,"A burrito that's just sour cream."
1959,"The bond between a woman and her horse."
1960,"The secret to truly resilient hair."
1961,"Mental illness."
1962,"Gayle from HR."
1963,"Informing you that I am a registered sex offender."
1964,"A negative body image that is totally justified."
1965,"Political correctness."
1966,"The clown that followed me home from the grocery store."
1967,"That bitch, Stacy."
1968,"Ejaculating at the apex of a cartwheel."
1969,"Gazpacho."
1970,"Having sex with a man and then eating his head."
1971,"An older man."
1972,"An X-Man whose power is that he has sex with dogs and children."
1973,"Out-of-control teenage blowjob parties."
1974,"Tender chunks of all-white-meat chicken."
1975,"Crushing the patriarchy."
1976,"The full blown marginalization of ugly people."
1977,"Aborting the shit out of a fetus."
1978,"Film roles for actresses over 40."
1979,"Plowing that ass like a New England corn farmer."
1980,"Huge big balls full of jizz."
1981,"Some of that good dick."
1982,"Being turned into sausages."
1983,"Hating Jews."
1984,"Crazy anal orgasms."
1985,"Regurgitating a half-digested sparrow."
1986,"The ol' penis-in-the-popcorn surprise."
1987,"A tiny fireman who puts out tiny fires."
1988,"Dis bitch."
1989,"Trees."
1990,"Three hours of nonstop penetration."
1991,"Slamming a dunk."
1992,"Starting a shitty podcast."
1993,"Gary."
1994,"Feminism."
1995,"Our baby."
1996,"Falling into a pit of waffles."
1997,"A woman's perspective."
1998,"Chipotle."
1999,"Scissoring, if that's a thing."
2000,"Watching a hot person eat."
2001,"Defeating a gorilla in single combat."
2002,"Bad emotions I don't want."
2003,"A creepy child singing a nursery rhyme."
2004,"Comprehensive immigration reform."
2005,"Denying the Holocaust."
2006,"Two beautiful pig sisters."
2007,"Catching a live salmon in your mouth."
2008,"Daddy going away forever."
2009,"A medium horchata."
2010,"Libertarians."
2011,"Picking up a glass of water and taking a sip and being the president."
2012,"Waking up inside of a tornado."
2013,"Making out and stuff."
2014,"A slowly encroaching circle of wolves."
2015,"Opening your mouth to talk and a big penis fops out."
2016,"Eating too many Cinnabons and then vomiting and then eating the vomit."
2017,"Seizing control of the means of production."
2018,"Misogyny."
2019,"Thinking about what eating even is."
2020,"Dropping dead in a Sbarro's bathroom and not being found for 72 hours."
2021,"Sucking each other's penises for hours on end."
2022,"Awesome pictures of planets and stuff."
2023,"Microaggressions."
2024,"Pretending to be one of the guys but actually being the spider god."
2025,"Fucking my therapist."
2026,"Having sex with a beautiful person."
2027,"Moon people."
2028,"Jason, the teen mayor."
2029,"Quinoa."
2030,"China."
2031,"Menopause."
2032,"My dog dying."
2033,"A gun that shoots cobras."
2034,"Reaching an age where barbecue chips are better than sex."
2035,"Going around pulling people's tampons out."
2036,"Playing my asshole like a trumpet."
2037,"Getting blasted in the face by a t-shirt cannon."
2038,"Getting naked too soon."
