id,message
715,"10,000 Syrian refugees."
716,"A sad handjob."
717,"Police brutality."
718,"Throwing a virgin into a volcano."
719,"A sea of troubles."
720,"Multiple stab wounds."
721,"Filling my briefcase with business stuff."
722,"A tiny horse."
723,"The Kool-Aid Man."
724,"Grandma."
725,"A bag of magic beans."
726,"Doing the right thing."
727,"Emma Watson."
728,"Racism."
729,"Powerful thighs."
730,"Men."
731,"Farting and walking away."
732,"Pedophiles."
733,"German Chancellor Angela Merkel."
734,"Peeing a little bit."
735,"Viagra.®"
736,"Ronald Reagan."
737,"Bisexuality."
738,"The clitoris."
739,"Soft, kissy missionary sex."
740,"Sitting on my face and telling me I'm garbage."
741,"A balanced breakfast."
742,"Puberty."
743,"Poor people."
744,"Harry Potter erotica."
745,"Penis breath."
746,"Agriculture."
747,"Committing suicide."
748,"The heart of a child."
749,"Aaron Burr."
750,"Republicans."
751,"Justin Bieber."
752,"Concealing a boner."
753,"Not vaccinating my children because I am stupid."
754,"Judge Judy."
755,"Sex with animals."
756,"Men discussing their feelings in an emotionally healthy way."
757,"Dead birds everywhere."
758,"All-you-can-eat shrimp for $8.99."
759,"My bright pink fuckhole."
760,"Having sex for the first time."
761,"An endless stream of diarrhea."
762,"Getting drugs off the street and into my body."
763,"German dungeon porn."
764,"Bingeing and purging."
765,"Kourtney, Kim, Khloe, Kendall, and Kylie."
766,"Mouth herpes."
767,"Seeing what happens when you lock people in a room with hungry seagulls."
768,"72 virgins."
769,"Not giving a shit about the Third World."
770,"Getting cummed on."
771,"Poor life choices."
772,"Firing a rifle into the air while balls deep in a squealing hog."
773,"Opposable thumbs."
774,"Geese."
775,"Being fat and stupid."
776,"Fancy Feast.®"
777,"Serfdom."
778,"Teaching a robot to love."
779,"A Super Soaker™ full of cat pee."
780,"NBA superstar LeBron James."
781,"Child abuse."
782,"Fucking my sister."
783,"Natural male enhancement."
784,"Science."
785,"_The Bachelorette_ season finale."
786,"The gays."
787,"Becoming a blueberry."
788,"Oprah."
789,"Three dicks at the same time."
790,"The wonders of the Orient."
791,"Puppies!"
792,"An unwanted pregnancy."
793,"Racially-biased SAT questions."
794,"The Holy Bible."
795,"Women of color."
796,"However much weed $20 can buy."
797,"Doing crimes."
798,"A whole thing of butter."
799,"Having anuses for eyes."
800,"Silence."
801,"Lumberjack fantasies."
802,"My balls on your face."
803,"Dead parents."
804,"Barack Obama."
805,"A snapping turtle biting the tip of your penis."
806,"A salad for men that's made of metal."
807,"African children."
808,"Fading away into nothingness."
809,"Illegal immigrants."
810,"Spaghetti? Again?"
811,"The Amish."
812,"Wizard music."
813,"The miracle of childbirth."
814,"Eating a hard boiled egg out of my husband's asshole."
815,"Selling crack to children."
816,"Menstrual rage."
817,"Still being a virgin."
818,"Mike Pence."
819,"Shiny objects."
820,"Giving birth to the Antichrist."
821,"The entire Mormon Tabernacle Choir."
822,"The placenta."
823,"Count Chocula."
824,"Bees?"
825,"Drinking alone."
826,"Telling a shitty story that goes nowhere."
827,"Sunshine and rainbows."
828,"A little boy who won't shut the fuck up about dinosaurs."
829,"Finger painting."
830,"Hobos."
831,"Natural selection."
832,"An erection that lasts longer than four hours."
833,"Bubble butt bottom boys."
834,"My soul."
835,"A middle-aged man on roller skates."
836,"Being a dick to children."
837,"Mutually assured destruction."
838,"Eating the last known bison."
839,"A mopey zoo lion."
840,"The cool, refreshing taste of Pepsi.®"
841,"Extremely tight pants."
842,"Queefing."
843,"A live studio audience."
844,"An oversized lollipop."
845,"Nicolas Cage."
846,"The Rapture."
847,"Daddy issues."
848,"Chunks of dead hitchhiker."
849,"Accepting the way things are."
850,"The Big Bang."
851,"Women's suffrage."
852,"Inappropriate yodeling."
853,"An older woman who knows her way around the penis."
854,"Raptor attacks."
855,"Sex with Patrick Stewart."
856,"The Patriarchy."
857,"Free samples."
858,"My ex-wife."
859,"The Pope."
860,"Covering myself with Parmesan cheese and chili flakes because I am pizza."
861,"White people."
862,"The unstoppable tide of Islam."
863,"Unfathomable stupidity."
864,"A bird that shits human turds."
865,"Your weird brother."
866,"Jobs."
867,"Former President George W. Bush."
868,"Estrogen."
869,"Donald J. Trump."
870,"An AR-15 assault rifle."
871,"Casually suggesting a threesome."
872,"David Bowie flying in on a tiger made of lightning."
873,"Memes."
874,"A salty surprise."
875,"Balls."
876,"The Devil himself."
877,"Fucking the weatherman on live television."
878,"The female orgasm."
879,"Necrophilia."
880,"The magic of live theatre."
881,"Some punk kid who stole my turkey sandwich."
882,"Vomiting seafood and bleeding anally."
883,"Pulling out."
884,"Spectacular abs."
885,"Full frontal nudity."
886,"A tiny, gay guitar called a ukulele."
887,"Mansplaining."
888,"Poorly-timed Holocaust jokes."
889,"Sweet, sweet vengeance."
890,"How amazing it is to be on mushrooms."
891,"Lance Armstrong's missing testicle."
892,"Hope."
893,"The screams... the terrible screams."
894,"Gandhi."
895,"Only dating Asian women."
896,"Switching to Geico.®"
897,"Getting fingered."
898,"Yeast."
899,"Emotions."
900,"Crumbs all over the god damn carpet."
901,"A brain tumor."
902,"Wet dreams."
903,"Dark and mysterious forces beyond our control."
904,"Shaking a baby until it stops crying."
905,"Being on fire."
906,"Huge biceps."
907,"My vagina."
908,"Bill Nye the Science Guy."
909,"My inner demons."
910,"Pooping in a laptop and closing it."
911,"Battlefield amputations."
912,"A fetus."
913,"Strong female characters."
914,"Dry heaving."
915,"Tentacle porn."
916,"The Jews."
917,"The South."
918,"Teenage pregnancy."
919,"A pangender octopus who roams the cosmos in search of love."
920,"Saying ""I love you."""
921,"Doin' it in the butt."
922,"Synergistic management solutions."
923,"50,000 volts straight to the nipples."
924,"Self-loathing."
925,"Erectile dysfunction."
926,"Poopy diapers."
927,"Friction."
928,"A sassy black woman."
929,"Liberals."
930,"Oompa-Loompas."
931,"Drinking out of the toilet and eating garbage."
932,"Fragile masculinity."
933,"Kissing grandma on the forehead and turning off her life support."
934,"Rap music."
935,"GoGurt.®"
936,"The true meaning of Christmas."
937,"A pyramid of severed heads."
938,"Getting really high."
939,"Hot cheese."
940,"Incest."
941,"Elderly Japanese men."
942,"Announcing that I am about to cum."
943,"Invading Poland."
944,"RoboCop."
945,"Flying sex snakes."
946,"Slaughtering innocent civilians."
947,"Establishing dominance."
948,"Some guy."
949,"Girls."
950,"Italians."
951,"Shutting up so I can watch the game."
952,"Jennifer Lawrence."
953,"Blowing my boyfriend so hard he shits."
954,"A Mexican."
955,"The Underground Railroad."
956,"Penis envy."
957,"Repression."
958,"Cards Against Humanity."
959,"The Hustle."
960,"Jerking off into a pool of children's tears."
961,"Heteronormativity."
962,"A Bop It.™"
963,"Heartwarming orphans."
964,"The Great Depression."
965,"A falcon with a cap on its head."
966,"AXE Body Spray."
967,"Prescription pain killers."
968,"Solving problems with violence."
969,"Gloryholes."
970,"A homoerotic volleyball montage."
971,"This month's mass shooting."
972,"Radical Islamic terrorism."
973,"Flightless birds."
974,"A disappointing birthday party."
975,"Assless chaps."
976,"Vehicular manslaughter."
977,"Permanent Orgasm-Face Disorder."
978,"Boogers."
979,"The Blood of Christ."
980,"Cuddling."
981,"Looking in the mirror, applying lipstick, and whispering ""tonight, you will have sex with Tom Cruise."""
982,"Authentic Mexican cuisine."
983,"The American Dream."
984,"Pooping back and forth. Forever."
985,"The Force."
986,"The only gay person in a hundred miles."
987,"Ethnic cleansing."
988,"Exactly what you'd expect."
989,"Getting crushed by a vending machine."
990,"A ball of earwax, semen, and toenail clippings."
991,"Brown people."
992,"Steve Bannon."
993,"Diversity."
994,"Pixelated bukkake."
995,"Tearing that ass up like wrapping paper on Christmas morning."
996,"Sideboob."
997,"Seeing Grandma naked."
998,"Women in yogurt commercials."
999,"Arnold Schwarzenegger."
1000,"The bombing of Nagasaki."
1001,"Chainsaws for hands."
1002,"Getting naked and watching Nickelodeon."
1003,"Fear itself."
1004,"The Trail of Tears."
1005,"Swooping."
1006,"Ghosts."
1007,"My neck, my back, my pussy, and my crack."
1008,"God."
1009,"Nazis."
1010,"MechaHitler."
1011,"My collection of Japanese sex toys."
1012,"One titty hanging out."
1013,"Crippling debt."
1014,"Passive aggressive Post-it notes."
1015,"Whipping it out."
1016,"Academy Award winner Meryl Streep."
1017,"Funky fresh rhymes."
1018,"How bad my daughter fucked up her dance recital."
1019,"Fellowship in Christ."
1020,"The violation of our most basic human rights."
1021,"Coat hanger abortions."
1022,"Morgan Freeman's voice."
1023,"Stalin."
1024,"8 oz. of sweet Mexican black-tar heroin."
1025,"Old-people smell."
1026,"Fake tits."
1027,"Sexual tension."
1028,"The inevitable heat death of the universe."
1029,"A fuck-ton of almonds."
1030,"Muhammad (Peace Be Upon Him)."
1031,"A really cool hat."
1032,"An octopus giving seven handjobs and smoking a cigarette."
1033,"These hoes."
1034,"Listening to her problems without trying to solve them."
1035,"The Russians."
1036,"Waking up half-naked in a Denny's parking lot."
1037,"Murder."
1038,"A crucifixion."
1039,"Her Majesty, Queen Elizabeth II."
1040,"Not wearing pants."
1041,"Man meat."
1042,"A gossamer stream of jizz that catches the light as it arcs through the morning air."
1043,"Lena Dunham."
1044,"Many bats."
1045,"Gay conversion therapy."
1046,"Horse meat."
1047,"The glass ceiling."
1048,"Dick pics."
1049,"Completely unwarranted confidence."
1050,"One trillion dollars."
1051,"Some of the best rappers in the game."
1052,"Black people."
1053,"Sperm whales."
1054,"My sex life."
1055,"Chemical weapons."
1056,"A Fleshlight.®"
1057,"Pictures of boobs."
1058,"William Shatner."
1059,"AIDS."
1060,"Autocannibalism."
1061,"A horde of Vikings."
1062,"Danny DeVito."
1063,"My abusive boyfriend who really isn't so bad once you get to know him."
1064,"A three-way with my wife and Shaquille O'Neal."
1065,"Fiery poops."
1066,"Lunchables.™"
1067,"Meth."
1068,"Soup that is too hot."
1069,"Tap dancing like there's no tomorrow."
1070,"Stephen Hawking talking dirty."
1071,"Object permanence."
1072,"The milkman."
1073,"Braiding three penises into a Twizzler."
1074,"My black ass."
1075,"Kanye West."
1076,"Poverty."
1077,"Judging everyone."
1078,"PTSD."
1079,"Wondering if it's possible to get some of that salsa to go."
1080,"Bitches."
